FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
Afghanistan,Kabul,,en-US,en-US
Albania,Tirana,,en-US,en-US
Algeria,Algiers,,en-US,en-US
Angola,Luanda,,en-US,en-US
Argentina,Buenos Aires,,en-US,en-US
Armenia,Yerevan,,en-US,en-US
Australia,Canberra,,en-US,en-US
Azerbaijan,Baku,,en-US,en-US
Bahrain,Manama,,en-US,en-US
Bangladesh,Dhaka,,en-US,en-US
Barbados,Bridgetown,,en-US,en-US
Belgium,City of Brussels,,en-US,en-US
Belize,Belmopan,,en-US,en-US
Benin,Porto-Novo,,en-US,en-US
Bolivia,Sucre,,en-US,en-US
Bosnia and Herzegovina,Sarajevo,,en-US,en-US
Botswana,Gaborone,,en-US,en-US
Brazil,Bras���,,en-US,en-US
Brunei,Bandar Seri Begawan,,en-US,en-US
Burkina Faso,Ouagadougou,,en-US,en-US
Burundi,Bujumbura,,en-US,en-US
Cambodia,Phnom Penh,,en-US,en-US
Cameroon,Yaound�,,en-US,en-US
Canada,Ottawa,,en-US,en-US
Cape Verde,Praia,,en-US,en-US
Central African Republic,Bangui,,en-US,en-US
Chad,N'Djamena,,en-US,en-US
Chile,Santiago,,en-US,en-US
China,Beijing,,en-US,en-US
Costa Rica,San Jos������,,en-US,en-US
Croatia,Zagreb,,en-US,en-US
Cuba,Havana,,en-US,en-US
Cyprus,Nicosia,,en-US,en-US
Czech Republic,Prague,,en-US,en-US
Dominican Republic,Santo Domingo,,en-US,en-US
East Timor,Dili,,en-US,en-US
Ecuador,Quito,,en-US,en-US
Egypt,Cairo,,en-US,en-US
Equatorial Guinea,Malabo,,en-US,en-US
Estonia,Tallinn,,en-US,en-US
Eswatini,Mbabane,,en-US,en-US
Ethiopia,Addis Ababa,,en-US,en-US
Federated States of Micronesia,Palikir,,en-US,en-US
Gabon,Libreville,,en-US,en-US
Georgia,Tbilisi,,en-US,en-US
Ghana,Accra,,en-US,en-US
Greece,Athens,,en-US,en-US
Grenada,"St. George's, Grenada",,en-US,en-US
Guatemala,Guatemala City,,en-US,en-US
Guinea,Conakry,,en-US,en-US
Guinea-Bissau,Bissau,,en-US,en-US
Haiti,Port-au-Prince,,en-US,en-US
Iceland,Reykjav��,,en-US,en-US
India,New Delhi,,en-US,en-US
Indonesia,Jakarta,,en-US,en-US
Iraq,Baghdad,,en-US,en-US
Ivory Coast,Yamoussoukro,,en-US,en-US
Jamaica,"Kingston, Jamaica",,en-US,en-US
Japan,Tokyo,,en-US,en-US
Jordan,Amman,,en-US,en-US
Kazakhstan,Astana,,en-US,en-US
Kiribati,South Tarawa,,en-US,en-US
Kuwait,Kuwait City,,en-US,en-US
Latvia,Riga,,en-US,en-US
Lesotho,Maseru,,en-US,en-US
Liberia,Monrovia,,en-US,en-US
Liechtenstein,Vaduz,,en-US,en-US
Lithuania,Vilnius,,en-US,en-US
Madagascar,Antananarivo,,en-US,en-US
Malawi,Lilongwe,,en-US,en-US
Malaysia,Kuala Lumpur,,en-US,en-US
Mali,Bamako,,en-US,en-US
Mauritania,Nouakchott,,en-US,en-US
Mauritius,Port Louis,,en-US,en-US
Mexico,Mexico City,,en-US,en-US
Moldova,Chi����,,en-US,en-US
Monaco,Monaco City,,en-US,en-US
Mongolia,Ulaanbaatar,,en-US,en-US
