FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
アルバニア (Albania),ティラナ (Tirana),,en-US,en-US
アンドラ (Andorra),アンドラ・ラ・ベリャ (Andorra la Vella),,en-US,en-US
アンティグア・バーブーダ (Antigua and Barbuda),"セントジョンズ (St. John's, Saint John)",,en-US,en-US
アルメニア (Armenia),エレバン (Yerevan),,en-US,en-US
オーストリア (Austria),ウィーン (Vienna),,en-US,en-US
アゼルバイジャン (Azerbaijan),バクー (Baku),,en-US,en-US
バーレーン (Bahrain),マナーマ (Manama),,en-US,en-US
バルバドス (Barbados),ブリッジタウン (Bridgetown),,en-US,en-US
ベラルーシ (Belarus),ミンスク (Minsk),,en-US,en-US
ベルギー (Belgium),ブリュッセル (City of Brussels),,en-US,en-US
ベリーズ (Belize),ベルモパン (Belmopan),,en-US,en-US
ブータン (Bhutan),ティンプー (Thimphu),,en-US,en-US
ボリビア (Bolivia),ラパス (La Paz),,en-US,en-US
ボスニアヘルツェゴビナ (Bosnia and Herzegovina),サラエボ (Sarajevo),,en-US,en-US
ボツワナ (Botswana),ハボローネ (Gaborone),,en-US,en-US
ブルネイ (Brunei),バンダルスリブガワン (Bandar Seri Begawan),,en-US,en-US
ブルガリア (Bulgaria),ソフィア (Sofia),,en-US,en-US
ブルンジ (Burundi),ブジュンブラ (Bujumbura),,en-US,en-US
カーボベルデ (Cape Verde),プライア (Praia),,en-US,en-US
中央アフリカ (Central African Republic),バンギ (Bangui),,en-US,en-US
コモロ (Comoros),"モロニ (Moroni, Comoros)",,en-US,en-US
コスタリカ (Costa Rica),サンホセ (San Jose),,en-US,en-US
クロアチア (Croatia),ザグレブ (Zagreb),,en-US,en-US
キューバ (Cuba),ハバナ (Havana),,en-US,en-US
キプロス (Cyprus),ニコシア (Nicosia),,en-US,en-US
チェコ (Czech Republic),プラハ (Prague),,en-US,en-US
デンマーク (Denmark),コペンハーゲン (Copenhagen),,en-US,en-US
ジブチ (Djibouti),ジブチ (Djibouti City),,en-US,en-US
ドミニカ (Dominica),ロゾー (Roseau),,en-US,en-US
ドミニカ共和国 (Dominican Republic),サントドミンゴ (Santo Domingo),,en-US,en-US
東ティモール (East Timor),ディリ (Dili),,en-US,en-US
