FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
シエラレオネ,フリータウン,,jp-JP,jp-JP
ラオス,ビエンチャン,,jp-JP,jp-JP
パラグアイ,アスンシオン,,jp-JP,jp-JP
ブルガリア,ソフィア,,jp-JP,jp-JP
セルビア,ベオグラード,,jp-JP,jp-JP
レバノン,ベイルート,,jp-JP,jp-JP
リビア,トリポリ,,jp-JP,jp-JP
ニカラグア,マナグア,,jp-JP,jp-JP
キルギス,ビシュケク,,jp-JP,jp-JP
エルサルバドル,サンサルバドル,,jp-JP,jp-JP
エリトリア,アスマラ,,jp-JP,jp-JP
トルクメニスタン,アシガバット,,jp-JP,jp-JP
デンマーク,コペンハーゲン,,jp-JP,jp-JP
シンガポール,シンガポール,,jp-JP,jp-JP
フィンランド,ヘルシンキ,,jp-JP,jp-JP
スロバキア,ブラチスラバ,,jp-JP,jp-JP
コンゴ共和国,ブラザビル,,jp-JP,jp-JP
ノルウェー,オスロ,,jp-JP,jp-JP
オマーン,マスカット,,jp-JP,jp-JP
コスタリカ,サンホセ,,jp-JP,jp-JP
